"x"
77
40
35
18
13
9
5
NA
36
31
11
7
70
30
58
69
47
24
8
28
15
20
50
12
6
41
37
17
10
52
16
14
71
43
34
45
53
42
22
64
26
33
23
61
25
29
55
90
32
27
38
75
66
19
74
48
56
21
68
60
49
54
65
76
46
57
51
39
59
83
73
82
72
78
67
91
98
84
44
63
80
86
62
88
85
93
89
81
92
79
87
95
97
100
0
4
1
3
2
96
94
99
101
110
104
113
106
116
119
130
108
102
999
103
105
120
112
-1
107
